"Nr. of features","Accuracy","Selected features"
18,0.8021978021978022,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column15,Column17,Column18,Column20,Column21"
8,0.7582417582417582,"Column3,Column6,Column11,Column15,Column16,Column18,Column19,Column20"
21,0.8131868131868132,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column22"
5,0.8131868131868132,"Column13,Column15,Column17,Column20,Column21"
11,0.7582417582417582,"Column4,Column5,Column7,Column9,Column10,Column11,Column13,Column14,Column17,Column18,Column21"
8,0.8351648351648352,"Column1,Column8,Column9,Column10,Column11,Column15,Column17,Column18"
11,0.9010989010989011,"Column1,Column4,Column5,Column7,Column11,Column15,Column17,Column18,Column19,Column20,Column22"
10,0.8131868131868132,"Column4,Column5,Column8,Column9,Column11,Column16,Column19,Column20,Column21,Column22"
2,0.7802197802197802,"Column6,Column18"
5,0.8351648351648352,"Column4,Column5,Column13,Column20,Column22"
3,0.7362637362637363,"Column15,Column17,Column22"
6,0.7802197802197802,"Column1,Column2,Column6,Column7,Column16,Column18"
7,0.7912087912087912,"Column2,Column3,Column5,Column10,Column14,Column21,Column22"
16,0.8241758241758241,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column14,Column15,Column19,Column20,Column21"
7,0.8351648351648352,"Column4,Column7,Column8,Column12,Column13,Column14,Column16"
19,0.8131868131868132,"Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21,Column22"
9,0.7912087912087912,"Column3,Column4,Column6,Column7,Column8,Column9,Column14,Column18,Column22"
3,0.7582417582417582,"Column2,Column4,Column6"
13,0.7582417582417582,"Column1,Column2,Column3,Column4,Column5,Column10,Column11,Column12,Column13,Column16,Column17,Column19,Column22"
21,0.8131868131868132,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21"
9,0.7582417582417582,"Column3,Column6,Column7,Column8,Column9,Column10,Column12,Column14,Column19"
2,0.7692307692307693,"Column7,Column17"
10,0.8681318681318682,"Column1,Column3,Column5,Column10,Column11,Column12,Column13,Column15,Column19,Column20"
10,0.7472527472527473,"Column1,Column2,Column4,Column9,Column11,Column12,Column13,Column15,Column21,Column22"
16,0.7252747252747253,"Column1,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column15,Column16,Column17,Column18,Column19,Column21"
18,0.8461538461538461,"Column3,Column4,Column5,Column6,Column8,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
1,0.8241758241758241,"Column9"
2,0.8131868131868132,"Column16,Column21"
17,0.8131868131868132,"Column1,Column2,Column3,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column21"
17,0.7912087912087912,"Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16,Column17,Column19,Column20,Column21"
6,0.8131868131868132,"Column3,Column10,Column11,Column18,Column20,Column21"
20,0.8021978021978022,"Column1,Column2,Column3,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
6,0.8131868131868132,"Column5,Column8,Column13,Column15,Column17,Column21"
20,0.8021978021978022,"Column1,Column2,Column3,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
5,0.7912087912087912,"Column4,Column5,Column12,Column20,Column22"
13,0.7912087912087912,"Column3,Column4,Column5,Column6,Column10,Column11,Column14,Column15,Column16,Column17,Column19,Column20,Column22"
10,0.8131868131868132,"Column1,Column5,Column8,Column9,Column11,Column13,Column16,Column17,Column19,Column21"
7,0.8131868131868132,"Column5,Column7,Column9,Column11,Column16,Column18,Column21"
4,0.7802197802197802,"Column4,Column8,Column15,Column19"
13,0.7692307692307693,"Column2,Column3,Column4,Column6,Column7,Column9,Column12,Column13,Column15,Column18,Column20,Column21,Column22"
14,0.7472527472527473,"Column3,Column5,Column7,Column8,Column10,Column11,Column12,Column14,Column15,Column16,Column17,Column20,Column21,Column22"
7,0.8021978021978022,"Column3,Column5,Column7,Column11,Column17,Column20,Column21"
18,0.8901098901098901,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column9,Column10,Column12,Column13,Column14,Column15,Column16,Column17,Column19,Column20,Column22"
9,0.8241758241758241,"Column4,Column5,Column6,Column7,Column9,Column12,Column14,Column15,Column16"
14,0.8351648351648352,"Column1,Column3,Column4,Column5,Column7,Column9,Column13,Column14,Column16,Column18,Column19,Column20,Column21,Column22"
15,0.8021978021978022,"Column1,Column2,Column3,Column4,Column6,Column7,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column22"
6,0.8021978021978022,"Column1,Column2,Column8,Column19,Column21,Column22"
6,0.8461538461538461,"Column1,Column2,Column14,Column15,Column18,Column22"
16,0.7582417582417582,"Column1,Column2,Column3,Column4,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column15,Column17,Column18,Column19,Column20"
7,0.7692307692307693,"Column9,Column10,Column15,Column17,Column18,Column19,Column22"
10,0.7912087912087912,"Column2,Column3,Column7,Column8,Column9,Column11,Column13,Column15,Column17,Column19"
13,0.9010989010989011,"Column5,Column6,Column8,Column9,Column10,Column13,Column14,Column16,Column17,Column18,Column19,Column21,Column22"
20,0.8241758241758241,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column19,Column20,Column22"
10,0.8351648351648352,"Column4,Column8,Column10,Column12,Column15,Column17,Column19,Column20,Column21,Column22"
21,0.7472527472527473,"Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
12,0.8461538461538461,"Column1,Column2,Column3,Column7,Column9,Column10,Column13,Column14,Column17,Column18,Column19,Column22"
3,0.8241758241758241,"Column5,Column11,Column14"
16,0.8131868131868132,"Column1,Column2,Column4,Column5,Column6,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column21,Column22"
10,0.7912087912087912,"Column5,Column6,Column8,Column11,Column13,Column14,Column16,Column18,Column19,Column22"
16,0.8461538461538461,"Column1,Column2,Column3,Column4,Column6,Column7,Column8,Column11,Column12,Column13,Column16,Column17,Column19,Column20,Column21,Column22"
17,0.7802197802197802,"Column1,Column2,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column20,Column21,Column22"
6,0.8241758241758241,"Column1,Column3,Column5,Column7,Column10,Column17"
9,0.8351648351648352,"Column2,Column3,Column5,Column7,Column11,Column14,Column18,Column20,Column22"
5,0.7472527472527473,"Column6,Column8,Column12,Column17,Column22"
8,0.8241758241758241,"Column8,Column10,Column12,Column13,Column16,Column18,Column19,Column20"
18,0.7582417582417582,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20"
13,0.7912087912087912,"Column2,Column3,Column4,Column6,Column11,Column12,Column13,Column14,Column15,Column17,Column18,Column19,Column21"
2,0.7912087912087912,"Column1,Column10"
2,0.8351648351648352,"Column2,Column11"
17,0.7912087912087912,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19"
4,0.7802197802197802,"Column5,Column11,Column13,Column14"
16,0.8351648351648352,"Column1,Column2,Column3,Column5,Column6,Column7,Column9,Column10,Column11,Column13,Column15,Column16,Column17,Column19,Column21,Column22"
3,0.8131868131868132,"Column4,Column7,Column14"
14,0.8571428571428571,"Column2,Column5,Column6,Column7,Column8,Column9,Column12,Column13,Column14,Column17,Column18,Column20,Column21,Column22"
6,0.8351648351648352,"Column1,Column6,Column7,Column14,Column16,Column17"
18,0.8241758241758241,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column12,Column14,Column15,Column16,Column17,Column19,Column20,Column21,Column22"
8,0.7692307692307693,"Column1,Column5,Column7,Column8,Column10,Column14,Column16,Column18"
20,0.7912087912087912,"Column1,Column2,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
16,0.7582417582417582,"Column1,Column2,Column4,Column5,Column7,Column9,Column10,Column12,Column13,Column14,Column16,Column17,Column18,Column20,Column21,Column22"
21,0.8681318681318682,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
11,0.7692307692307693,"Column2,Column4,Column7,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column22"
20,0.7362637362637363,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21"
6,0.7802197802197802,"Column3,Column8,Column15,Column17,Column18,Column21"
3,0.7582417582417582,"Column4,Column9,Column20"
5,0.8461538461538461,"Column3,Column5,Column9,Column10,Column16"
15,0.8461538461538461,"Column1,Column2,Column3,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column20,Column22"
13,0.7472527472527473,"Column1,Column2,Column4,Column6,Column9,Column10,Column12,Column14,Column15,Column17,Column18,Column20,Column21"
13,0.7912087912087912,"Column1,Column5,Column6,Column7,Column8,Column12,Column13,Column16,Column17,Column18,Column19,Column20,Column21"
9,0.7692307692307693,"Column1,Column3,Column4,Column6,Column8,Column10,Column14,Column15,Column21"
12,0.7912087912087912,"Column2,Column4,Column6,Column7,Column8,Column10,Column13,Column14,Column16,Column17,Column19,Column21"
15,0.7912087912087912,"Column1,Column4,Column5,Column6,Column8,Column10,Column11,Column12,Column13,Column14,Column18,Column19,Column20,Column21,Column22"
