"Nr. of features","Accuracy","Selected features"
20,0.7362637362637363,"Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21"
7,0.7802197802197802,"Column3,Column9,Column12,Column14,Column16,Column20,Column22"
14,0.7666666666666667,"Column1,Column6,Column7,Column10,Column11,Column12,Column14,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
20,0.7931034482758621,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
6,0.7333333333333333,"Column11,Column12,Column15,Column16,Column17,Column20"
10,0.7252747252747253,"Column1,Column6,Column9,Column13,Column14,Column15,Column17,Column20,Column21,Column22"
14,0.6813186813186813,"Column1,Column4,Column5,Column6,Column7,Column9,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column22"
14,0.7252747252747253,"Column1,Column2,Column3,Column4,Column7,Column8,Column12,Column13,Column15,Column16,Column17,Column18,Column21,Column22"
5,0.8351648351648352,"Column6,Column8,Column9,Column11,Column21"
8,0.7692307692307693,"Column1,Column4,Column5,Column9,Column10,Column13,Column18,Column22"
3,0.8351648351648352,"Column4,Column14,Column17"
1,0.7582417582417582,"Column22"
7,0.7252747252747253,"Column4,Column8,Column14,Column16,Column17,Column20,Column21"
13,0.7586206896551724,"Column1,Column3,Column4,Column6,Column8,Column11,Column12,Column14,Column15,Column16,Column19,Column20,Column22"
7,0.7582417582417582,"Column1,Column4,Column13,Column16,Column19,Column21,Column22"
2,0.7802197802197802,"Column9,Column20"
12,0.7472527472527473,"Column1,Column2,Column3,Column5,Column6,Column9,Column11,Column13,Column15,Column17,Column18,Column20"
15,0.7888888888888889,"Column2,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column22"
21,0.7333333333333333,"Column1,Column2,Column3,Column4,Column5,Column6,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
14,0.7444444444444445,"Column3,Column6,Column8,Column9,Column11,Column12,Column14,Column15,Column16,Column17,Column18,Column20,Column21,Column22"
11,0.7912087912087912,"Column1,Column4,Column5,Column8,Column9,Column12,Column14,Column17,Column18,Column19,Column21"
20,0.7444444444444445,"Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
19,0.7252747252747253,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column20,Column21"
9,0.7582417582417582,"Column1,Column3,Column7,Column8,Column11,Column16,Column17,Column19,Column20"
16,0.8021978021978022,"Column1,Column2,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column20,Column22"
1,0.8131868131868132,"Column11"
14,0.8021978021978022,"Column1,Column2,Column3,Column5,Column7,Column9,Column12,Column13,Column14,Column16,Column17,Column18,Column19,Column20"
7,0.7582417582417582,"Column6,Column13,Column14,Column16,Column18,Column19,Column21"
1,0.7582417582417582,"Column5"
22,0.6896551724137931,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
10,0.8021978021978022,"Column3,Column4,Column5,Column11,Column15,Column16,Column18,Column20,Column21,Column22"
5,0.8021978021978022,"Column7,Column9,Column10,Column15,Column20"
21,0.6923076923076923,"Column1,Column2,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22"
7,0.7692307692307693,"Column3,Column4,Column14,Column18,Column19,Column21,Column22"
1,0.8021978021978022,"Column13"
2,0.8021978021978022,"Column7,Column10"
7,0.8131868131868132,"Column6,Column8,Column10,Column13,Column16,Column17,Column22"
8,0.6923076923076923,"Column6,Column7,Column11,Column12,Column14,Column15,Column16,Column19"
17,0.8351648351648352,"Column2,Column3,Column4,Column5,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column16,Column17,Column18,Column19,Column21,Column22"
13,0.8571428571428571,"Column2,Column3,Column9,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column20,Column21,Column22"
20,0.7640449438202247,"Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column18,Column19,Column21,Column22"
